CountyFIPS,DataCategory,DataType,HUC,Organization,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
49045,DETAIL,ALLOCATION,160203060902,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060904,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203060909,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061404,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061409,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49045,DETAIL,ALLOCATION,160203061508,,UTDWRT,2016,00-02-03,Deep Creek,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203010104,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203010105,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203010301,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203010302,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203010303,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203010307,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203010309,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020101,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020102,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020103,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020104,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020105,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020201,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020202,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020203,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020204,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020205,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020301,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
49001,DETAIL,ALLOCATION,160203020302,,UTDWRT,2016,00-03-01,Snake Valley,46,http://www.water.utah.gov/DWRT
