CountyFIPS,DataCategory,DataType,HUC,OrganizationIdentifier,ReportIdentifier,ReportUnitIdentifier,ReportUnitName,State,WaDEURLAddress
16011,DETAIL,DIVERSION,170402061004,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402061005,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16011,DETAIL,DIVERSION,170402061008,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402010401,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402010402,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402010502,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402010503,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060101,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060103,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060104,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060105,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060106,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060107,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16019,DETAIL,DIVERSION,170402060301,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010301,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010302,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010401,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
16051,DETAIL,DIVERSION,170402010402,IDWR,2015,35,,56,http://www.westernstateswater.org/Idaho
